Date,Price,Open,High,Low,Vol.,Change %
"Jun 16, 2014",1274.9,1279.8,1283.5,1270.8,0.33K,0.09%
"Jun 13, 2014",1273.7,1272.5,1274.7,1271.3,0.15K,0.01%
"Jun 12, 2014",1273.6,1260,1274.5,1260,0.13K,1.02%
"Jun 11, 2014",1260.8,1259.9,1264.4,1259.1,0.13K,0.08%
"Jun 10, 2014",1259.8,1252.4,1262.3,1251,1.01K,0.5%
"Jun 09, 2014",1253.5,1252.7,1256.1,1251.8,0.10K,0.11%
"Jun 06, 2014",1252.1,1253.4,1256.6,1246.3,0.38K,-0.07%
"Jun 05, 2014",1253,1244,1256.6,1241.2,1.32K,0.72%
"Jun 04, 2014",1244,1245.1,1248.8,1242.7,0.60K,-0.02%
"Jun 03, 2014",1244.3,1244.1,1247.5,1240.5,0.65K,0.05%
"Jun 02, 2014",1243.7,1250,1250.7,1240.9,0.77K,-0.15%
"May 30, 2014",1245.6,1255.1,1259.6,1241.8,3.84K,-0.85%
"May 29, 2014",1256.3,1258.3,1260.6,1250.9,38.05K,-0.24%
"May 28, 2014",1259.3,1259.3,1259.3,1263.6,-,-0.48%
"May 27, 2014",1265.4,1291.9,1291.9,1276,0.03K,-2.1%
"May 26, 2014",1292.5,1291.6,1294.4,1291.4,-,0.06%
"May 25, 2014",1291.7,1293.9,1294.2,1291.1,-,0.01%
"May 23, 2014",1291.6,1293.2,1293.4,1293.2,0.00K,-0.25%
"May 22, 2014",1294.9,1294.2,1295,1294.2,0.00K,0.54%
"May 21, 2014",1288,1287.4,1287.4,1287.4,0.00K,-0.5%
"May 20, 2014",1294.5,1290.7,1290.7,1290.1,0.01K,0.06%
"May 19, 2014",1293.7,1293.7,1293.7,1293.7,0.04K,0.03%
"May 16, 2014",1293.3,1293.3,1293.3,1293.3,0.01K,-0.02%
"May 15, 2014",1293.5,1302.5,1302.5,1292.8,0.03K,-0.93%
"May 14, 2014",1305.7,1292.8,1306.9,1292.8,0.03K,0.86%
"May 13, 2014",1294.6,1295.5,1295.5,1292,0.02K,-0.08%
"May 12, 2014",1295.6,1282.1,1295.9,1281.2,0.02K,0.64%
"May 09, 2014",1287.3,1287.3,1287.3,1287.3,0.00K,-0.01%
"May 08, 2014",1287.4,1291.5,1291.5,1285.5,0.07K,-0.09%
"May 07, 2014",1288.6,1310.3,1312,1288,0.02K,-1.51%
"May 06, 2014",1308.3,1309.4,1309.4,1306.9,0.01K,-0.05%
"May 05, 2014",1309,1305.6,1314.2,1305.5,0.03K,0.49%
"May 02, 2014",1302.6,1276.7,1302.7,1276.7,0.09K,1.52%
"May 01, 2014",1283.1,1288.7,1288.7,1278,0.03K,-0.96%
"Apr 30, 2014",1295.6,1296,1296.5,1286.6,0.18K,-0.03%
"Apr 29, 2014",1296,1295.5,1300.5,1289.1,0.90K,-0.22%
"Apr 28, 2014",1298.9,1305.4,1305.4,1293,0.06K,-0.14%
"Apr 25, 2014",1300.7,1293.8,1304.6,1293.8,0.27K,0.79%
"Apr 24, 2014",1290.5,1284.6,1297.9,1272.4,0.52K,0.49%
"Apr 23, 2014",1284.2,1284.3,1287.7,1282.4,0.18K,0.28%
"Apr 22, 2014",1280.6,1289.2,1291.6,1276,0.10K,-0.57%
"Apr 21, 2014",1288,1290,1299.2,1283.7,0.10K,-0.42%
"Apr 17, 2014",1293.4,1300.1,1303,1292.5,0.12K,-0.74%
"Apr 16, 2014",1303.1,1302.7,1304,1295,0.18K,0.24%
"Apr 15, 2014",1300,1322.7,1322.7,1291.5,0.24K,-2.05%
"Apr 14, 2014",1327.2,1320.1,1330,1320.1,0.33K,0.64%
"Apr 11, 2014",1318.7,1319,1322.8,1316.3,0.08K,-0.11%
"Apr 10, 2014",1320.1,1311.8,1323.8,1311.2,0.13K,1.12%
"Apr 09, 2014",1305.5,1309.5,1313.6,1301.1,0.19K,-0.24%
"Apr 08, 2014",1308.7,1296.6,1314.1,1296.6,0.26K,0.82%
"Apr 07, 2014",1298,1301.4,1304,1296.3,0.36K,-0.4%
"Apr 04, 2014",1303.2,1285.5,1306.1,1284.4,0.98K,1.46%
"Apr 03, 2014",1284.4,1290.8,1293.6,1282.7,0.78K,-0.47%
"Apr 02, 2014",1290.5,1280.2,1294.1,1280.2,1.10K,0.85%
"Apr 01, 2014",1279.6,1285.1,1287.9,1277.3,0.88K,-0.3%
"Mar 31, 2014",1283.4,1294.3,1298.8,1282.4,4.12K,-0.8%
"Mar 28, 2014",1293.8,1292.2,1299.4,1285.9,65.49K,-0.07%
"Mar 27, 2014",1294.7,1294.7,1294.7,1294.7,-,-0.67%
"Mar 26, 2014",1303.4,1315.2,1315.2,1311.8,0.00K,-0.61%
"Mar 25, 2014",1311.4,1315.5,1315.5,1307.5,0.05K,0.02%
"Mar 24, 2014",1311.2,1333,1333,1310.5,0.10K,-1.86%
"Mar 21, 2014",1336,1339.1,1339.1,1335,0.00K,0.41%
"Mar 20, 2014",1330.5,1333.7,1333.7,1325.8,0.07K,-0.81%
"Mar 19, 2014",1341.4,1357.1,1358,1332.7,0.06K,-1.3%
"Mar 18, 2014",1359,1359.3,1361.8,1353.4,0.04K,-1.01%
"Mar 17, 2014",1372.9,1386.1,1391.4,1372.2,0.03K,-0.44%
"Mar 14, 2014",1379,1376.1,1386.6,1369.8,0.09K,0.5%
"Mar 13, 2014",1372.2,1366.8,1374.5,1366.5,0.02K,0.14%
"Mar 12, 2014",1370.3,1349.1,1370.5,1348.7,0.06K,1.77%
"Mar 11, 2014",1346.5,1340,1352.4,1338.1,0.05K,0.38%
"Mar 10, 2014",1341.4,1336,1344.7,1330.5,0.10K,0.25%
"Mar 07, 2014",1338.1,1349.5,1352.7,1329.2,0.10K,-1.01%
"Mar 06, 2014",1351.7,1338,1351.6,1333.3,0.06K,0.86%
"Mar 05, 2014",1340.2,1334.8,1341,1334.8,0.03K,0.18%
"Mar 04, 2014",1337.8,1350.4,1350.4,1332.2,0.08K,-0.91%
"Mar 03, 2014",1350.1,1335.9,1354.1,1332.9,0.23K,2.17%
"Feb 28, 2014",1321.4,1329.8,1332.6,1321.1,0.24K,-0.77%
"Feb 27, 2014",1331.6,1329.3,1335,1324.6,0.37K,0.26%
"Feb 26, 2014",1328.2,1341.2,1344,1325.6,0.06K,-1.1%
"Feb 25, 2014",1343,1336.4,1343.9,1333.1,0.29K,0.35%
"Feb 24, 2014",1338.3,1324.3,1339,1321.4,0.09K,1.09%
"Feb 21, 2014",1323.9,1320,1328.3,1317.4,0.17K,0.52%
"Feb 20, 2014",1317.1,1310.7,1323.5,1309.6,0.12K,-0.27%
"Feb 19, 2014",1320.6,1318.3,1321.6,1309.1,0.19K,-0.31%
"Feb 18, 2014",1324.7,1322.9,1330.6,1313.9,0.37K,-0.29%
"Feb 17, 2014",1328.5,1323.7,1332.2,1321.1,-,0.72%
"Feb 14, 2014",1319,1301.7,1320.7,1301.5,0.31K,1.43%
"Feb 13, 2014",1300.4,1293.3,1303.5,1287.5,0.88K,0.39%
"Feb 12, 2014",1295.3,1290.5,1296.2,1285.5,0.14K,0.4%
"Feb 11, 2014",1290.1,1274,1292,1273.8,0.56K,1.2%
"Feb 10, 2014",1274.8,1269.6,1277.3,1265.7,0.74K,0.91%
"Feb 07, 2014",1263.3,1258.3,1271.4,1257.9,0.44K,0.45%
"Feb 06, 2014",1257.6,1258,1267,1253.5,0.27K,0.02%
"Feb 05, 2014",1257.3,1254,1273.7,1253.1,1.62K,0.45%
"Feb 04, 2014",1251.7,1258.4,1260.7,1247.8,1.75K,-0.69%
"Feb 03, 2014",1260.4,1242.4,1266.3,1241.2,2.91K,1.64%
"Jan 31, 2014",1240.1,1243.6,1254.5,1238.4,5.82K,-0.17%
"Jan 30, 2014",1242.2,1267,1267.7,1237.5,45.28K,-1.58%
"Jan 29, 2014",1262.2,1262.2,1262.2,1262.2,-,0.9%
"Jan 28, 2014",1251,1257.9,1258.4,1257.9,0.02K,-1%
"Jan 27, 2014",1263.6,1259.8,1264.4,1254.4,0.09K,-0.07%
